t,Date,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,mineral_N_fertilization_rate
0,17/12/1998,347,12,5.2,516.2222222,5.84,0.95,360,2.9,0
1,17/12/1998,347,13,5.6,549.8888889,6.264,0.88,360,2.9,0
2,17/12/1998,347,14,4.8,392.7777778,5.415,0.92,360,2.9,0
3,17/12/1998,347,15,3.6,157.1111111,6.223,0.95,360,2.9,0
4,17/12/1998,347,16,3.5,22.44444444,5.957,0.96,360,2.9,0
5,17/12/1998,347,17,3.6,0,5.733,0.97,360,2.9,0
6,17/12/1998,347,18,3.7,0,5.59,0.98,360,2.9,0
7,17/12/1998,347,19,3.9,0,5.511,0.99,360,2.9,0
8,17/12/1998,347,20,3.9,0,5.48,0.99,360,2.9,0
9,17/12/1998,347,21,4.4,0,5.455,0.99,360,2.9,0
10,17/12/1998,347,22,4.7,0,5.45,0.99,360,2.9,0
11,17/12/1998,347,23,4.4,0,5.466,0.99,360,2.9,0
12,17/12/1998,347,24,4.3,0,5.445,0.98,360,4.6,0
13,18/12/1998,348,1,4.5,0,5.385,0.96,360,4.6,0
14,18/12/1998,348,2,4.5,0,5.346,0.96,360,4.6,0
15,18/12/1998,348,3,5.1,0,5.347,0.96,360,4.6,0
16,18/12/1998,348,4,5.5,0,5.401,0.95,360,4.6,0
17,18/12/1998,348,5,5.8,0,5.489,0.95,360,4.6,0
18,18/12/1998,348,6,6.2,0,5.6,0.94,360,4.6,0
19,18/12/1998,348,7,6.6,0,5.712,0.94,360,4.6,0
20,18/12/1998,348,8,7.1,0,5.84,0.93,360,4.6,0
21,18/12/1998,348,9,7.2,11.22222222,6.001,0.95,360,4.6,0
22,18/12/1998,348,10,7.7,33.66666667,6.203,0.95,360,4.6,0
23,18/12/1998,348,11,7.6,33.66666667,6.433,0.95,360,4.6,0
24,18/12/1998,348,12,7.7,22.44444444,6.626,0.95,360,4.6,0
25,18/12/1998,348,13,7.9,44.88888889,6.773,0.96,360,4.6,0
26,18/12/1998,348,14,8.3,56.11111111,6.931,0.95,360,4.6,0
27,18/12/1998,348,15,8.4,33.66666667,7.14,0.96,360,4.6,0
28,18/12/1998,348,16,8.8,11.22222222,7.305,0.96,360,4.6,0
29,18/12/1998,348,17,9.1,0,7.425,0.95,360,4.6,0
30,18/12/1998,348,18,9.2,0,7.5,0.95,360,4.6,0
31,18/12/1998,348,19,9.1,0,7.57,0.92,360,4.6,0
32,18/12/1998,348,20,9.4,0,7.535,0.9,360,4.6,0
33,18/12/1998,348,21,8.9,0,7.59,0.88,360,4.6,0
34,18/12/1998,348,22,8.8,0,7.52,0.85,360,4.6,0
35,18/12/1998,348,23,8.8,0,7.365,0.87,360,4.6,0
36,18/12/1998,348,24,8.8,0,7.43,0.91,360,5.2,0
37,19/12/1998,349,1,8.8,0,7.53,0.84,360,5.2,0
38,19/12/1998,349,2,8.5,0,7.465,0.78,360,5.2,0
39,19/12/1998,349,3,7.8,0,7.16,0.84,360,5.2,0
40,19/12/1998,349,4,8.5,0,7.015,0.82,360,5.2,0
41,19/12/1998,349,5,7.9,0,7.035,0.82,360,5.2,0
42,19/12/1998,349,6,7.2,0,6.996,0.88,360,5.2,0
43,19/12/1998,349,7,6.6,0,6.928,0.86,360,5.2,0
44,19/12/1998,349,8,6.1,0,6.727,0.86,360,5.2,0
45,19/12/1998,349,9,6.6,157.1111111,6.381,0.83,360,5.2,0
46,19/12/1998,349,10,7.2,359.1111111,6.25,0.79,360,5.2,0
47,19/12/1998,349,11,7.5,370.3333333,6.452,0.79,360,5.2,0
48,19/12/1998,349,12,8.6,594.7777778,6.756,0.71,360,5.2,0
49,19/12/1998,349,13,8.8,493.7777778,7.075,0.7,360,5.2,0
50,19/12/1998,349,14,8.5,314.2222222,7.195,0.71,360,5.2,0
51,19/12/1998,349,15,8,213.2222222,7.135,0.7,360,5.2,0
52,19/12/1998,349,16,7.5,11.22222222,7.038,0.72,360,5.2,0
53,19/12/1998,349,17,6.5,0,6.736,0.78,360,5.2,0
54,19/12/1998,349,18,5.8,0,6.371,0.82,360,5.2,0
55,19/12/1998,349,19,5.2,0,6.143,0.89,360,5.2,0
56,19/12/1998,349,20,5.6,0,5.922,0.88,360,5.2,0
57,19/12/1998,349,21,5.7,0,5.792,0.87,360,5.2,0
58,19/12/1998,349,22,5.7,0,5.711,0.87,360,5.2,0
59,19/12/1998,349,23,5.1,0,5.686,0.9,360,5.2,0
60,19/12/1998,349,24,4.6,0,5.675,0.92,360,4.2,0
61,20/12/1998,350,1,4.3,0,5.621,0.93,360,4.2,0
62,20/12/1998,350,2,4.1,0,5.535,0.93,360,4.2,0
63,20/12/1998,350,3,4,0,5.433,0.94,360,4.2,0
64,20/12/1998,350,4,4,0,5.351,0.95,360,4.2,0
65,20/12/1998,350,5,3.8,0,5.298,0.95,360,4.2,0
66,20/12/1998,350,6,3.9,0,5.246,0.95,360,4.2,0
67,20/12/1998,350,7,3.6,0,5.174,0.94,360,4.2,0
